ORF,ImageNumber,ObjectNumber,filename,Plate,well_number,series_number,gene_name,row_id,score,is_inlier
QUERY,1,2,20181002_135035_623plate1WellA01BlueChannel(series1).tif,1,A01,1,,1,0.0002853214730577647,False
,1546,68,20181015_135757_230plate10WellF11BlueChannel(series1).tif,10,F11,1,,1546,0.08083470393517678,False
,2005,47,20181015_135757_230plate10WellL20BlueChannel(series1).tif,10,L20,1,,2005,0.11197089242706991,False
,657,24,20181002_135035_623plate1WellJ03BlueChannel(series3).tif,1,J03,3,,657,0.13364341111364506,False
,555,131,20181002_135035_623plate1WellH17BlueChannel(series3).tif,1,H17,3,,555,0.10839806011841603,False
YNR058W,1732,129,20181015_135757_230plate10WellI01BlueChannel(series1).tif,10,I01,1,BIO3,1732,0.13134126326759663,False
YAL054C,1882,123,20181015_135757_230plate10WellK03BlueChannel(series1).tif,10,K03,1,ACS1,1882,0.12696168159459423,False
YML089C,123,30,20181002_135035_623plate1WellB17BlueChannel(series3).tif,1,B17,3,,123,0.14080215185212414,False
YNR059W,1738,15,20181015_135757_230plate10WellI03BlueChannel(series1).tif,10,I03,1,MNT4,1738,0.017682219603363927,False
YDL236W,1933,59,20181015_135757_230plate10WellK20BlueChannel(series1).tif,10,K20,1,PHO13,1933,0.07328936247202673,False
YMR232W,983,25,20181002_135035_623plate1WellN16BlueChannel(series2).tif,1,N16,2,FUS2,983,0.06421499193285349,False
YLL063C,191,118,20181002_135035_623plate1WellC16BlueChannel(series2).tif,1,C16,2,AYT1,191,0.09613655874951166,False
BLANK,2175,4,20181015_135757_230plate10WellO04BlueChannel(series3).tif,10,O04,3,,2175,0.14243437512089346,False
YLR124W,110,23,20181002_135035_623plate1WellB13BlueChannel(series2).tif,1,B13,2,,110,0.13621366479101352,False
YAR029W,722,66,20181002_135035_623plate1WellK01BlueChannel(series2).tif,1,K01,2,,722,0.11598750477106011,False
YDL210W,1742,94,20181015_135757_230plate10WellI04BlueChannel(series2).tif,10,I04,2,UGA4,1742,0.02743031018714416,False
YDL104C,1533,24,20181015_135757_230plate10WellF06BlueChannel(series3).tif,10,F06,3,QRI7,1533,0.0691091081560884,False
YBR271W,1402,45,20181015_135757_230plate10WellD11BlueChannel(series1).tif,10,D11,1,EFM2,1402,0.10378145299441494,False
YJR140C,1352,73,20181015_135757_230plate10WellC18BlueChannel(series2).tif,10,C18,2,HIR3,1352,0.12295524492654195,False
YCR086W,1997,111,20181015_135757_230plate10WellL17BlueChannel(series2).tif,10,L17,2,CSM1,1997,0.09389755449379558,False
YDL201W,1646,12,20181015_135757_230plate10WellG20BlueChannel(series2).tif,10,G20,2,TRM8,1646,0.09706857804137857,False
YCR045C,1823,64,20181015_135757_230plate10WellJ07BlueChannel(series2).tif,10,J07,2,RRT12,1823,0.06808276007700768,False
YMR042W,112,90,20181002_135035_623plate1WellB14BlueChannel(series1).tif,1,B14,1,ARG80,112,0.14231306590652784,False
YLR077W,755,15,20181002_135035_623plate1WellK12BlueChannel(series2).tif,1,K12,2,FMP25,755,0.12450017291410273,False
YDL110C,1557,48,20181015_135757_230plate10WellF14BlueChannel(series3).tif,10,F14,3,TMA17,1557,0.09708879851363175,False
YLR067C,642,37,20181002_135035_623plate1WellI22BlueChannel(series3).tif,1,I22,3,PET309,642,0.08961278137574667,False
YML008C,711,60,20181002_135035_623plate1WellJ21BlueChannel(series3).tif,1,J21,3,ERG6,711,0.1003561710538792,False
YLR122C,97,15,20181002_135035_623plate1WellB09BlueChannel(series1).tif,1,B09,1,,97,0.02314806417395833,False
YMR238W,1008,7,20181002_135035_623plate1WellN24BlueChannel(series3).tif,1,N24,3,DFG5,1008,0.10358338807707465,False
YMR238W,1007,26,20181002_135035_623plate1WellN24BlueChannel(series2).tif,1,N24,2,DFG5,1007,0.028753993778285997,False
YDL156W,1970,15,20181015_135757_230plate10WellL08BlueChannel(series2).tif,10,L08,2,CMR1,1970,0.06578170266052075,False
YLR461W,1480,64,20181015_135757_230plate10WellE13BlueChannel(series1).tif,10,E13,1,PAU4,1480,0.138316062790634,False
YMR141C,130,77,20181002_135035_623plate1WellB20BlueChannel(series1).tif,1,B20,1,,130,0.10580390817956799,False
YLR001C,197,19,20181002_135035_623plate1WellC18BlueChannel(series2).tif,1,C18,2,,197,0.11425609996290607,False
YJL021C,2110,13,20181015_135757_230plate10WellN07BlueChannel(series1).tif,10,N07,1,,2110,0.08669652687829954,False
YLR001C,196,47,20181002_135035_623plate1WellC18BlueChannel(series1).tif,1,C18,1,,196,0.14238208584384335,False
YDL175C,2113,17,20181015_135757_230plate10WellN08BlueChannel(series1).tif,10,N08,1,AIR2,2113,0.09398354062770159,False
YDL168W,1999,113,20181015_135757_230plate10WellL18BlueChannel(series1).tif,10,L18,1,SFA1,1999,0.07188050098626697,False
YDL236W,1933,9,20181015_135757_230plate10WellK20BlueChannel(series1).tif,10,K20,1,PHO13,1933,0.13491163304247264,False
YLR089C,882,61,20181002_135035_623plate1WellM06BlueChannel(series3).tif,1,M06,3,ALT1,882,0.14212562528672154,False
YAL018C,446,7,20181002_135035_623plate1WellG05BlueChannel(series2).tif,1,G05,2,LDS1,446,0.11381661179938993,False
YAL068C,8,18,20181002_135035_623plate1WellA03BlueChannel(series2).tif,1,A03,2,PAU8,8,0.14233814874366243,False
YAL013W,471,12,20181002_135035_623plate1WellG13BlueChannel(series3).tif,1,G13,3,DEP1,471,0.03748857023497802,False
YDL116W,1579,23,20181015_135757_230plate10WellF22BlueChannel(series1).tif,10,F22,1,NUP84,1579,0.10084543952987624,False
YBR283C,1517,3,20181015_135757_230plate10WellF01BlueChannel(series2).tif,10,F01,2,SSH1,1517,0.1410093779219459,False
YAL060W,45,42,20181002_135035_623plate1WellA15BlueChannel(series3).tif,1,A15,3,BDH1,45,0.06034878698778576,False
YDL198C,1627,31,20181015_135757_230plate10WellG14BlueChannel(series1).tif,10,G14,1,GGC1,1627,0.10411257802743915,False
YDL218W,1778,2,20181015_135757_230plate10WellI16BlueChannel(series2).tif,10,I16,2,,1778,0.10023057971914379,False
YDL233W,1921,26,20181015_135757_230plate10WellK16BlueChannel(series1).tif,10,K16,1,MFG1,1921,0.11922269754102653,False
YLL062C,184,7,20181002_135035_623plate1WellC14BlueChannel(series1).tif,1,C14,1,MHT1,184,0.1239077727264169,False
