ORF,Name,Allele,StrainID,Plate,Row,Column,Time,score,is_inlier
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00036827051029164615,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.1411873680939533,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5774156334124365,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.6921543960323977,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00013987303461626688,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.29390831460394473,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00030928591409895567,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.14809275237290143,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.6616629297953951,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-4.395384603128605e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.634328625828781,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7757758977683511,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-4.1159060873541264e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00016575112479455534,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.4359452945754987,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.560566476436071,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.4030688782558618,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.588245708120221,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.59179609640443,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.8087521222883576,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,2.324387951446738e-06,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.0173447174373653,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.9851505915851504,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.828374369581589,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.9138081437851844,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.6561493073066222,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00032212490778760206,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00042256394157980104,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,8.602712320127104e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00013645631269953995,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00038476527506903224,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5725378886861556,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.000274755744295474,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.14766293670114328,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.9744358679371248,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.29434663836196573,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7965224653328355,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00032154836161946143,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,8.948465349423174e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0002300094124356722,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00017974885938376595,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5160538355711115,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.9013896744678129,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.17325679764476543,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.12108398975929435,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.000106920018840162,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.4111454085989399,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.9215914044278251,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7725309150720105,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.46772180499109517,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5596017125069761,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-2.25993082163116,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5950208884427111,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.11925313150461592,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.8218358890455388,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,7.924236808265483e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.3959866058080024,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,7.340820244960966e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.29247847559297435,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.8481607307339785,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0032128108847220282,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5955679776521097,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.9268533321914816,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.9865653739678806,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.6575645917730957,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.441442285375127,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-9.608720216180977e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.2609869796799271,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.24110456862613305,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.3778485431348104,True
