ORF,ImageNumber,ObjectNumber,filename,Plate,well_number,series_number,gene_name,row_id,score,is_inlier
QUERY,1,2,20181002_135035_623plate1WellA01BlueChannel(series1).tif,1,A01,1,,1,0.000383041831985953,False
,1546,68,20181015_135757_230plate10WellF11BlueChannel(series1).tif,10,F11,1,,1546,0.09752563899421644,False
,2005,47,20181015_135757_230plate10WellL20BlueChannel(series1).tif,10,L20,1,,2005,0.18539990871887665,False
,657,24,20181002_135035_623plate1WellJ03BlueChannel(series3).tif,1,J03,3,,657,0.1406927483977526,False
,555,131,20181002_135035_623plate1WellH17BlueChannel(series3).tif,1,H17,3,,555,-0.005642935801871002,True
YNR058W,1732,129,20181015_135757_230plate10WellI01BlueChannel(series1).tif,10,I01,1,BIO3,1732,0.1903643052107745,False
YAL054C,1882,123,20181015_135757_230plate10WellK03BlueChannel(series1).tif,10,K03,1,ACS1,1882,0.1853263737165477,False
YML089C,123,30,20181002_135035_623plate1WellB17BlueChannel(series3).tif,1,B17,3,,123,0.18634989478325595,False
YNR059W,1738,15,20181015_135757_230plate10WellI03BlueChannel(series1).tif,10,I03,1,MNT4,1738,-0.037213000982892264,True
YDL236W,1933,59,20181015_135757_230plate10WellK20BlueChannel(series1).tif,10,K20,1,PHO13,1933,0.04701544965043991,False
YMR232W,983,25,20181002_135035_623plate1WellN16BlueChannel(series2).tif,1,N16,2,FUS2,983,-0.02119133386010172,True
YLL063C,191,118,20181002_135035_623plate1WellC16BlueChannel(series2).tif,1,C16,2,AYT1,191,0.03125183088884417,False
BLANK,2175,4,20181015_135757_230plate10WellO04BlueChannel(series3).tif,10,O04,3,,2175,0.08248412505035352,False
YLR124W,110,23,20181002_135035_623plate1WellB13BlueChannel(series2).tif,1,B13,2,,110,0.1113264207340351,False
YAR029W,722,66,20181002_135035_623plate1WellK01BlueChannel(series2).tif,1,K01,2,,722,0.08095426294371731,False
YDL210W,1742,94,20181015_135757_230plate10WellI04BlueChannel(series2).tif,10,I04,2,UGA4,1742,-0.004231226784895431,True
YDL104C,1533,24,20181015_135757_230plate10WellF06BlueChannel(series3).tif,10,F06,3,QRI7,1533,0.0459353516085049,False
YBR271W,1402,45,20181015_135757_230plate10WellD11BlueChannel(series1).tif,10,D11,1,EFM2,1402,0.06426245638332614,False
YJR140C,1352,73,20181015_135757_230plate10WellC18BlueChannel(series2).tif,10,C18,2,HIR3,1352,0.16156985322206668,False
YCR086W,1997,111,20181015_135757_230plate10WellL17BlueChannel(series2).tif,10,L17,2,CSM1,1997,-0.013220798330671746,True
