ORF,Name,Allele,StrainID,Plate,Row,Column,Time,score,is_inlier
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00026755947120529755,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-9.16157717824051e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,5.1350796067495263e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00012499472141214163,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00037586118571042437,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00018700703905250027,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0004014522937099141,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0002061143283956235,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.005498327844737777,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,2.1542061196561102e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00010563819909767402,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.000342150654318224,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0003892727034164878,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00012585757734631664,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0002494295618186426,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.017316243150034466,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,6.445243223229813e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00030452320767665464,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00028950927099499757,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0004988408591576066,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00016088444354556142,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-5.386075621954811e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-5.9056235077764585e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-3.87541192230223e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,3.887140992075988e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0004731592384930039,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0001853205363339938,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00012714971997437874,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0003948118040934534,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,2.4699338762312895e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0002574947845340181,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00015989979672742516,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00047273372203335273,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0005651534687405035,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00031311868417144284,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,7.033555509891598e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00503320316613895,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.07565264893187168,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0005896178101400529,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00011607922804435233,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00032108785451989696,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-5.234268830986433e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-6.217861345469977e-06,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,4.171743332401223e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00038509605352829435,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.006941099860706512,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-2.7791667537108156e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.04297471024970148,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00022433195796689454,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-8.028832590353807e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0003383725203775223,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0003505289739804962,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0005729809914399864,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,8.924593025375072e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00041389156003107663,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0002288021103841742,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00012834911270823146,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,4.401626595659791e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-6.990595917191755e-05,True
